Article URL,total_freq
https://apple.news/A0KVwjQfzTDiZasCgB7PnuQ,25
https://www.rt.com/news/391336-amanpour-aleppo-boy-challenge/,10
https://syrianfreepress.wordpress.com/2017/06/25/white-helmets-graphic/,4
http://www.dcclothesline.com/2017/06/08/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world/,96
https://www.thetimes.co.uk/article/assad-is-here-to-stay-west-tells-syrian-opposition-g0s5hxqmk,1
https://conspiracyboi.wordpress.com/2017/08/18/mainstream-media-weeps-for-dead-white-helmets-terrorists-cries-for-nusra/,1
http://en.etilaf.org/all-news/local-news/civil-defense-honors-50-injured-members-in-aleppo-idlib.html,26
http://feeds.feedburner.com/~r/ridbaydotblogspotdotcom/~3/WaVq2s7U1Bk/white-helmets-member-caught-on-camera.html,1
https://www.google.com/amp/s/clarityofsignal.com/2017/07/18/numerous-us-government-officials-caught-on-camera-meeting-with-white-helmets-and-fsa-terrorists/amp/,1
https://www.therussophile.org/russia-envoy-points-to-absence-of-white-helmets-video-in-opcw-report-on-sarin-gas-attack.html/,2
https://www.sott.net/article/356382-Russia-envoy-points-to-absence-of-White-Helmets-video-in-OPCW-report-on-sarin-gas-attack,9
https://anationofthinkers.info/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world/,1
https://www.wsj.com/articles/seven-white-helmets-members-shot-dead-in-northwestern-syria-1502542963?mod=fox_australian,51
https://dissidentvoice.org/2015/04/seven-steps-of-highly-effective-manipulators/,1
https://arretsurinfo.ch/syria-swedish-doctors-for-human-rights-swedhr-denounce-white-helmets-video/#.WOYmXIp-zrk.twitter,1
http://thefreethoughtproject.com/white-helmets-caught-aiding-alqaeda-fighters/,28
http://yournewswire.com/white-helmets-dead-syrian-soldiers/,11
https://dissidentvoice.org/2016/09/white-helmets-deceive-right-livelihood-and-codepink/,2
https://www.sott.net/article/360434-Smells-like-White-Helmets-Rebel-trained-children-in-Syria-pretend-to-be-chemical-attack-victims,24
http://oddcrimes.com/static/2017/08/13/The-Latest-US-condemns-killing-of-7-White-Helmets-in-Syria.php,1
https://nexusnewsfeed.com/article/geopolitics/white-helmets-member-caught-on-camera-disposing-of-syrian-soldiers-mutilated-bodies/,2
http://islamexposedblog.blogspot.com/2017/04/taqiyya-of-worst-kind-white-helmets.html?spref=tw,2
http://english.almanar.com.lb/304533,10
http://www.antiliberalnews.net/2017/06/01/white-helmets-indonesia-menembus-jantung-perlawanan-rohingya/,12
https://steigan.no/2017/06/26/newsweek-stikker-huller-i-white-helmets-myten/,5
http://www.fow24news.com/2017/08/white-helmets-rescuers-shot-dead-in.html?spref=tw,2
http://uprootedpalestinians.blogspot.com/2017/06/source-what-are-syrias-uk-funded-white.html,3
https://www.gov.uk/government/news/foreign-secretary-condemns-murder-of-white-helmets-volunteers,30
http://route.overnewser.com/terrorism_newz/?url=http://www.apnewsarchive.com/2017/The-U-S-State-Department-says-it-is-saddened-and-horrified-by-the-news-of-the-killing-of-seven-Syrian-first-responders-in-their-base-in-the-country-s-rebel-held-Idlib-Province/id-c705e755118743a3803e20d8beb537fe,6
